KHACHHANG_ID,NGAY,UP,DOWN,NGAY_THANHLY,THANHLY
12863,2/1/2023,0,4,4/22/2023,1
12863,2/2/2023,6,140,4/22/2023,1
12863,2/3/2023,0,6,4/22/2023,1
12863,2/6/2023,0,2,4/22/2023,1
12863,2/7/2023,0,2,4/22/2023,1
12863,2/8/2023,0,4,4/22/2023,1
12863,2/9/2023,4,142,4/22/2023,1
12863,2/10/2023,0,4,4/22/2023,1
12863,2/13/2023,0,6,4/22/2023,1
12863,2/14/2023,0,8,4/22/2023,1
12863,2/15/2023,0,6,4/22/2023,1
12863,2/16/2023,6,132,4/22/2023,1
12863,2/20/2023,0,4,4/22/2023,1
12863,2/21/2023,0,2,4/22/2023,1
12863,2/22/2023,0,4,4/22/2023,1
12863,2/23/2023,2,62,4/22/2023,1
12863,2/24/2023,0,2,4/22/2023,1
12863,2/26/2023,0,0,4/22/2023,1
12863,2/27/2023,0,2,4/22/2023,1
12863,2/28/2023,6,60,4/22/2023,1
12863,3/1/2023,0,4,4/22/2023,1
12863,3/2/2023,4,90,4/22/2023,1
12863,3/3/2023,0,8,4/22/2023,1
12863,3/6/2023,42,48,4/22/2023,1
12863,3/7/2023,0,4,4/22/2023,1
12863,3/8/2023,0,4,4/22/2023,1
12863,3/9/2023,6,84,4/22/2023,1
12863,3/10/2023,0,2,4/22/2023,1
12863,3/13/2023,0,2,4/22/2023,1
12863,3/14/2023,0,12,4/22/2023,1
12863,3/15/2023,0,0,4/22/2023,1
12863,3/16/2023,0,14,4/22/2023,1
12863,3/17/2023,0,2,4/22/2023,1
12863,3/19/2023,0,22,4/22/2023,1
12863,3/20/2023,0,0,4/22/2023,1
12863,3/21/2023,0,0,4/22/2023,1
12863,3/22/2023,0,2,4/22/2023,1
12863,3/23/2023,0,48,4/22/2023,1
12863,3/24/2023,0,4,4/22/2023,1
12863,3/27/2023,0,2,4/22/2023,1
12863,3/28/2023,0,2,4/22/2023,1
12863,3/29/2023,0,4,4/22/2023,1
12863,3/30/2023,0,4,4/22/2023,1
12863,3/31/2023,2,28,4/22/2023,1
12863,4/3/2023,0,10,4/22/2023,1
12863,4/4/2023,0,2,4/22/2023,1
12863,4/5/2023,0,4,4/22/2023,1
12863,4/6/2023,0,24,4/22/2023,1
12863,4/7/2023,0,0,4/22/2023,1
12863,4/10/2023,0,2,4/22/2023,1
12863,4/11/2023,0,2,4/22/2023,1
12863,4/12/2023,0,4,4/22/2023,1
12863,4/13/2023,4,20,4/22/2023,1
12863,4/14/2023,0,6,4/22/2023,1
12863,4/17/2023,0,0,4/22/2023,1
12863,4/18/2023,0,4,4/22/2023,1
12863,4/19/2023,0,2,4/22/2023,1
12863,4/20/2023,0,18,4/22/2023,1
12863,4/21/2023,0,4,4/22/2023,1
12863,4/22/2023,0,0,4/22/2023,1
12863,4/24/2023,0,2,4/22/2023,1
12863,4/25/2023,0,2,4/22/2023,1
12863,4/26/2023,0,2,4/22/2023,1
12863,4/27/2023,0,2,4/22/2023,1
12863,4/28/2023,0,10,4/22/2023,1
12863,5/2/2023,0,0,4/22/2023,1
12863,5/3/2023,0,6,4/22/2023,1
12863,5/5/2023,0,2,4/22/2023,1
12863,5/7/2023,0,0,4/22/2023,1
12863,5/8/2023,0,2,4/22/2023,1
12863,5/9/2023,0,2,4/22/2023,1
12863,5/10/2023,0,2,4/22/2023,1
12863,5/11/2023,0,2,4/22/2023,1
12863,5/12/2023,0,2,4/22/2023,1
12863,5/15/2023,0,2,4/22/2023,1
12863,5/16/2023,0,0,4/22/2023,1
16301,12/31/2022,1,70,3/14/2023,1
16301,1/31/2023,0,20,3/14/2023,1
16301,3/7/2023,0,3,3/14/2023,1
17700,12/31/2022,4,120,2/22/2023,1
17700,1/30/2023,0,5,2/22/2023,1
17700,1/31/2023,7,176,2/22/2023,1
17700,2/21/2023,2,71,2/22/2023,1
17700,2/28/2023,1,110,2/22/2023,1
17983,12/31/2022,74,562,2/2/2023,1
17983,1/8/2023,2,4,2/2/2023,1
17983,1/9/2023,2,8,2/2/2023,1
17983,1/10/2023,0,0,2/2/2023,1
17983,1/11/2023,0,0,2/2/2023,1
18580,12/31/2022,1,31,5/19/2023,1
18580,1/5/2023,0,0,5/19/2023,1
18580,1/6/2023,0,1,5/19/2023,1
18580,1/7/2023,0,1,5/19/2023,1
18580,1/8/2023,0,0,5/19/2023,1
18580,1/9/2023,0,10,5/19/2023,1
18580,1/14/2023,0,1,5/19/2023,1
18580,1/15/2023,0,0,5/19/2023,1
18580,1/16/2023,0,12,5/19/2023,1
18580,1/21/2023,0,0,5/19/2023,1
18580,1/22/2023,0,0,5/19/2023,1
18580,1/23/2023,0,0,5/19/2023,1
18580,1/24/2023,0,0,5/19/2023,1
18580,1/25/2023,0,0,5/19/2023,1
18580,1/26/2023,0,1,5/19/2023,1
18580,1/27/2023,0,1,5/19/2023,1
18580,1/28/2023,0,0,5/19/2023,1
18580,1/29/2023,0,0,5/19/2023,1
18580,1/30/2023,0,1,5/19/2023,1
18580,1/31/2023,0,8,5/19/2023,1
18580,2/3/2023,0,0,5/19/2023,1
18580,2/4/2023,0,11,5/19/2023,1
18580,2/9/2023,0,0,5/19/2023,1
18580,2/10/2023,0,4,5/19/2023,1
18580,2/11/2023,0,0,5/19/2023,1
18580,2/12/2023,1,22,5/19/2023,1
18580,2/21/2023,0,0,5/19/2023,1
18580,4/30/2023,10,203,5/19/2023,1
18580,5/2/2023,0,0,5/19/2023,1
18580,5/8/2023,0,0,5/19/2023,1
18580,5/10/2023,0,0,5/19/2023,1
18580,5/12/2023,0,0,5/19/2023,1
18580,5/13/2023,0,0,5/19/2023,1
18580,5/16/2023,0,0,5/19/2023,1
18580,5/17/2023,0,0,5/19/2023,1
18580,5/18/2023,0,0,5/19/2023,1
19143,1/3/2023,0,0,5/19/2023,1
19143,1/4/2023,0,0,5/19/2023,1
19143,1/5/2023,0,0,5/19/2023,1
19143,1/6/2023,0,0,5/19/2023,1
